timestamp,available_replicas
2026-09-06T20:38:30+00:00,1
2026-09-06T20:38:45+00:00,1
2026-09-06T20:39:00+00:00,1
2026-09-06T20:39:15+00:00,1
2026-09-06T20:39:30+00:00,1
2026-09-06T20:39:45+00:00,1
2026-09-06T20:40:00+00:00,1
2026-09-06T20:40:15+00:00,1
2026-09-06T20:40:30+00:00,1
2026-09-06T20:40:45+00:00,1
2026-09-06T20:41:00+00:00,1
2026-09-06T20:41:15+00:00,1
2026-09-06T20:41:30+00:00,1
2026-09-06T20:41:45+00:00,1
2026-09-06T20:42:00+00:00,1
2026-09-06T20:42:15+00:00,1
2026-09-06T20:42:30+00:00,1
2026-09-06T20:42:45+00:00,1
2026-09-06T20:43:00+00:00,1
2026-09-06T20:43:15+00:00,1
2026-09-06T20:43:30+00:00,1
2026-09-06T20:43:45+00:00,1
2026-09-06T20:44:00+00:00,1
2026-09-06T20:44:15+00:00,1
2026-09-06T20:44:30+00:00,1
2026-09-06T20:44:45+00:00,1
2026-09-06T20:45:00+00:00,1
2026-09-06T20:45:15+00:00,1
2026-09-06T20:45:30+00:00,1
2026-09-06T20:45:45+00:00,1
2026-09-06T20:46:00+00:00,1
2026-09-06T20:46:15+00:00,1
2026-09-06T20:46:30+00:00,1
2026-09-06T20:46:45+00:00,1
2026-09-06T20:47:00+00:00,1
2026-09-06T20:47:15+00:00,1
2026-09-06T20:47:30+00:00,1
2026-09-06T20:47:45+00:00,1
2026-09-06T20:48:00+00:00,1
2026-09-06T20:48:15+00:00,1
2026-09-06T20:48:30+00:00,1
2026-09-06T20:48:45+00:00,1
2026-09-06T20:49:00+00:00,1
2026-09-06T20:49:15+00:00,1
2026-09-06T20:49:30+00:00,1
2026-09-06T20:49:45+00:00,1
2026-09-06T20:50:00+00:00,1
2026-09-06T20:50:15+00:00,1
2026-09-06T20:50:30+00:00,1
2026-09-06T20:50:45+00:00,1
2026-09-06T20:51:00+00:00,1
2026-09-06T20:51:15+00:00,1
2026-09-06T20:51:30+00:00,1
2026-09-06T20:51:45+00:00,1
2026-09-06T20:52:00+00:00,1
2026-09-06T20:52:15+00:00,1
2026-09-06T20:52:30+00:00,1
2026-09-06T20:52:45+00:00,1
2026-09-06T20:53:00+00:00,1
2026-09-06T20:53:15+00:00,1
2026-09-06T20:53:30+00:00,1
2026-09-06T20:53:45+00:00,1
2026-09-06T20:54:00+00:00,1
2026-09-06T20:54:15+00:00,1
2026-09-06T20:54:30+00:00,1
2026-09-06T20:54:45+00:00,1
2026-09-06T20:55:00+00:00,1
2026-09-06T20:55:15+00:00,1
2026-09-06T20:55:30+00:00,1
2026-09-06T20:55:45+00:00,1
2026-09-06T20:56:00+00:00,1
2026-09-06T20:56:15+00:00,1
2026-09-06T20:56:30+00:00,1
2026-09-06T20:56:45+00:00,1
2026-09-06T20:57:00+00:00,1
2026-09-06T20:57:15+00:00,1
2026-09-06T20:57:30+00:00,1
2026-09-06T20:57:45+00:00,1
2026-09-06T20:58:00+00:00,1
2026-09-06T20:58:15+00:00,1
2026-09-06T20:58:30+00:00,1
2026-09-06T20:58:45+00:00,1
2026-09-06T20:59:00+00:00,1
2026-09-06T20:59:15+00:00,1
2026-09-06T20:59:30+00:00,1
2026-09-06T20:59:45+00:00,1
2026-09-06T21:00:00+00:00,1
2026-09-06T21:00:15+00:00,1
2026-09-06T21:00:30+00:00,1
2026-09-06T21:00:45+00:00,1
2026-09-06T21:01:00+00:00,1
2026-09-06T21:01:15+00:00,1
2026-09-06T21:01:30+00:00,1
2026-09-06T21:01:45+00:00,1
2026-09-06T21:02:00+00:00,1
2026-09-06T21:02:15+00:00,1
2026-09-06T21:02:30+00:00,1
2026-09-06T21:02:45+00:00,1
2026-09-06T21:03:00+00:00,1
2026-09-06T21:03:15+00:00,1
2026-09-06T21:03:30+00:00,1
2026-09-06T21:03:45+00:00,1
2026-09-06T21:04:00+00:00,1
2026-09-06T21:04:15+00:00,1
2026-09-06T21:04:30+00:00,1
2026-09-06T21:04:45+00:00,1
2026-09-06T21:05:00+00:00,1
2026-09-06T21:05:15+00:00,1
2026-09-06T21:05:30+00:00,1
2026-09-06T21:05:45+00:00,1
2026-09-06T21:06:00+00:00,1
2026-09-06T21:06:15+00:00,1
2026-09-06T21:06:30+00:00,1
2026-09-06T21:06:45+00:00,1
2026-09-06T21:07:00+00:00,1
2026-09-06T21:07:15+00:00,1
2026-09-06T21:07:30+00:00,1
2026-09-06T21:07:45+00:00,1
2026-09-06T21:08:00+00:00,1
